F,k₋f,k₋s,ka,k₋a
15.8,8.529814980129842,0.3364742411198444,2.511659158189959,0.33568542500522636
15.9,8.529814980259491,0.3407860572253738,2.5360829486606185,0.32935304048454317
16.0,8.529814980389144,0.345153127956238,2.5607442401230065,0.3231401103420689
16.1,8.529814980518793,0.3495761613838267,2.5856453420761802,0.31704438118519485
16.2,8.529814980648446,0.35405587465325045,2.6107885864771494,0.3110636421294095
16.3,8.529814980778095,0.35859299409961964,2.636176327959262,0.3051957239964224
16.4,8.529814980907746,0.3631882553658098,2.661810944052708,0.2994384985274182
16.5,8.529814981037397,0.36784240352173836,2.687694835407179,0.2937898776111477
16.6,8.529814981167046,0.37255619318517,2.7138304260166812,0.2882478125265845
16.7,8.529814981296699,0.37733038864406804,2.740220163446538,0.2828102931998646
16.8,8.529814981426348,0.38216576398051666,2.7668665190626096,0.27747534747524516
16.9,8.529814981556,0.3870631031962286,2.7937719882627245,0.2722410403998158
17.0,8.52981498168565,0.3920232003396628,2.8209390907103753,0.2671054735217016
17.1,8.529814981815301,0.3970468596347696,2.8483703705706787,0.26206678420150764
17.2,8.529814981944952,0.40213489561138777,2.8760683967486345,0.25712314493674965
17.3,8.529814982074603,0.40728813323731056,2.904035763129707,0.25227276269902954
17.4,8.529814982204254,0.4125074080520446,2.932275088822726,0.24751387828371596
17.5,8.529814982333905,0.417793566302285,2.960789018405175,0.24284476567188992
17.6,8.529814982463554,0.42314746507912215,2.989580222170844,0.23826373140432924
17.7,8.529814982593207,0.42856997245701134,3.018651396379905,0.23376911396730024
17.8,8.529814982722856,0.43406196763452126,3.0480052635114143,0.22935928318993684
17.9,8.529814982852507,0.4396243410768843,3.07764457251826,0.22503263965298753
18.0,8.529814982982158,0.44525799466037796,3.107572099084612,0.22078761410871536
18.1,8.529814983111807,0.45096384181855165,3.137790645885845,0.2166226669117412
18.2,8.52981498324146,0.4567428076903316,3.168303042851019,0.21253628746062375
18.3,8.529814983371109,0.46259582927002063,3.1991121474278965,0.2085269936499729
18.4,8.529814983500762,0.4685238555592208,3.230220844850529,0.20459333133290003
18.5,8.529814983630411,0.47452784772070544,3.2616320484094716,0.20073387379360616
18.6,8.529814983760062,0.4806087792342581,3.2933486997245924,0.19694722122992206
18.7,8.529814983889713,0.4867676360545129,3.3253737690205614,0.19323200024560772
18.8,8.529814984019362,0.49300541677081694,3.35771025540501,0.18958686335222938
18.9,8.529814984149015,0.49932313276913753,3.3903611871493844,0.18601048848043436
19.0,8.529814984278664,0.5057218083960497,3.42332962197255,0.18250157850044377
19.1,8.529814984408315,0.5122024811248214,3.4566186473271343,0.17905886075159158
19.2,8.529814984537966,0.518766201723628,3.490231380688666,0.17568108658073844
19.3,8.529814984667617,0.5254140344259225,3.5241709698475283,0.1723670308893918
19.4,8.529814984797268,0.5321470571029896,3.5584405932037333,0.16911549168937115
19.5,8.529814984926919,0.53896636143871,3.5930434600645893,0.16592528966685313
19.6,8.529814985056568,0.5458730531065642,3.627982810945237,0.16279526775464198
19.7,8.52981498518622,0.5528682519489059,3.6632619178721235,0.15972429071250827
19.8,8.52981498531587,0.5599530921585318,3.6988840846894284,0.15671124471544343
19.9,8.529814985445523,0.5671287224625767,3.7348526473684553,0.15375503694968298
20.0,8.529814985575172,0.5743963063087694,3.7711709743200523,0.1508545952163486
20.1,8.52981498570482,0.5817570220540697,3.8078424667100474,0.14800886754256867
20.2,8.529814985834474,0.5892120631557272,3.844870558777772,0.14521682179993392
20.3,8.529814985964123,0.5967626383647883,3.8822587181576735,0.14247744533015
20.4,8.529814986093776,0.6044099719220782,3.9200104462040466,0.13978974457775345
20.5,8.529814986223425,0.6121553037567011,3.958129278318943,0.13715274472975386
20.6,8.529814986353076,0.6199998896870794,3.996618784283243,0.1345654893620763
